RM,PTRATIO,LSTAT,MEDV (Adjusted)
7.489,14.7,1.73,6
7.802,14.7,1.92,6
8.375,14.7,3.32,6
7.929,14.7,3.7,6
7.831,17.8,4.45,6
7.875,14.4,2.97,6
8.034,14.7,2.88,6
8.725,17.4,4.63,6
8.704,13,5.12,6
8.297,13,7.44,6
7.923,13.6,3.16,6
4.97,20.2,3.26,6
6.683,20.2,3.73,6
7.016,20.2,2.96,6
6.216,20.2,9.53,6
5.875,20.2,8.88,6
8.398,13,5.91,6
7.853,14.7,3.81,6
8.247,17.4,3.95,6
7.686,17.4,3.92,6
7.645,14.9,3.01,6
7.82,14.9,3.76,6
8.266,17.4,4.14,6
7.454,15.9,3.11,6
7.82,18,3.57,6
7.47,13,3.16,6
7.52,13,7.26,6
8.259,19.1,3.54,6
7.61,14.7,3.11,5
8.337,17.4,2.47,5
6.943,14.7,4.59,5
7.765,17.8,7.56,5
8.069,18,4.21,5
7.155,17.8,4.82,5
8.04,17.4,3.13,5
7.148,19.2,3.56,5
6.98,17.8,5.04,5
6.951,15.2,5.1,5
7.206,13,8.1,5
7.178,15.2,2.87,5
7.147,18.7,5.33,5
6.144,17.8,9.45,5
7.236,18.4,6.93,5
7.333,13,7.79,5
7.249,17.9,4.81,5
6.968,14.9,4.59,5
7.691,18.6,6.58,5
6.812,14.9,4.85,5
7.024,18.3,1.98,4
7.185,15.2,5.39,4
6.975,17,4.56,4
7.185,17.8,4.03,4
7.274,12.6,6.62,4
7.203,13,9.59,4
6.998,18.7,2.94,4
7.42,18.4,6.47,4
7.287,12.6,4.08,4
7.416,18,6.19,4
7.267,17.6,6.05,4
6.826,17.6,4.16,4
6.982,16.1,4.86,4
7.104,18.6,8.05,4
7.135,17,4.45,4
7.241,15.5,5.49,4
6.563,17.8,5.68,4
6.758,17.6,3.53,4
7.088,15.3,7.85,4
6.782,15.2,6.68,4
6.854,17.6,2.98,4
7.412,17.4,5.25,4
6.816,15.1,3.95,4
7.163,17.4,6.36,4
6.552,17.4,3.76,4
7.358,17.4,4.73,4
6.874,17.6,4.61,4
6.8,15.6,5.03,4
7.327,13,11.25,4
6.595,18.3,4.32,4
7.014,13,14.79,4
6.739,15.2,4.69,4
7.107,12.6,8.61,4
6.618,17.4,7.6,4
6.842,13,6.9,4
6.728,17,4.5,4
6.86,16.6,6.92,4
6.556,15.2,4.56,4
6.98,20.2,11.66,4
6.153,17.8,13.15,4
6.957,19.1,3.53,4
6.546,16.6,5.33,4
6.604,15.6,4.38,4
6.482,17.6,7.19,4
6.726,17.4,8.05,4
7.041,14.8,4.74,4
6.43,18.7,5.21,4
7.079,17.8,5.7,4
6.642,16.4,9.69,4
6.678,16,6.27,4
6.861,19.2,3.33,4
6.625,18,6.65,4
6.616,18.4,8.93,4
6.849,18.4,7.53,4
6.375,18.6,9.38,4
6.727,19,5.29,4
6.63,19.2,4.7,4
5.608,20.2,12.13,4
6.727,20.9,9.42,4
6.879,17.4,9.93,4
3.561,20.2,7.12,4
6.852,20.2,19.78,4
6.172,15.2,19.15,3
6.549,16,7.39,3
6.25,14.7,5.5,3
6.951,17.4,9.71,3
6.77,17.9,4.84,3
6.63,18.5,6.53,3
6.939,19.7,5.89,3
6.781,20.9,7.67,3
5.604,17.8,13.98,3
6.495,16.1,8.67,3
6.718,19.1,6.56,3
6.169,17.9,5.81,3
6.24,18.6,6.59,3
6.631,17.4,9.54,3
6.511,16.8,5.28,3
6.762,19.7,9.5,3
6.211,18.2,6.21,3
6.101,14.7,9.81,3
6.182,18.6,9.47,3
6.415,19.6,6.12,3
6.398,20.2,7.79,3
7.061,20.2,7.01,3
6.302,19,6.72,3
6.438,19.1,3.59,3
6.565,16.6,9.51,3
6.871,14.8,6.07,3
5.966,19.2,10.13,3
6.211,17.9,7.44,3
6.383,17.3,5.77,3
6.315,16.6,6.29,3
6.431,19.6,5.08,3
6.433,19.1,9.52,3
6.635,17,5.99,3
5.926,19.2,13.59,3
6.326,18.6,10.97,3
6.064,18.6,14.66,3
6.487,19.1,5.9,3
6.538,18.6,7.73,3
6.066,14.7,6.43,3
5.981,17.4,11.65,3
6.108,19.1,9.16,3
6.417,19.2,6.72,3
6.273,18.7,6.78,3
6.162,14.7,7.43,3
6.579,18.3,5.49,3
6.575,15.3,4.98,3
6.086,17.4,10.88,3
6.619,19,7.22,3
6.389,18.5,9.62,3
6.127,16,8.58,3
6.696,17.6,7.18,3
6.976,21,5.64,3
5.877,14.7,12.14,3
6.319,14.7,11.1,3
6.567,18.4,9.28,3
6.426,19.6,7.2,3
5.412,18.6,29.55,3
6.481,16.6,6.36,3
6.393,16.6,5.19,3
6.75,20.2,7.74,3
7.007,17.8,5.5,3
6.416,16.6,9.04,3
